Flux_Category	04_15	04_20	15_20
04CL < 20CL | 20CU < 04CU | 04CR < 20CR	0	3	0
04CL < 20CL | 20CU < 04CU | 20CR < 04CR	0	3	0
04CL == 15CL | 04CU < 15CU | 04CR < 15CR	62	0	0
04CL == 15CL | 04CU == 15CU | 04CR == 15CR	617	0	0
04CL == 15CL | 15CU < 04CU | 04CR < 15CR	1	0	0
04CL == 15CL | 15CU < 04CU | 15CR < 04CR	76	0	0
04CL == 20CL | 04CU < 20CU | 04CR < 20CR	0	112	0
04CL == 20CL | 04CU == 20CU | 04CR == 20CR	0	601	0
04CL == 20CL | 20CU < 04CU | 04CR < 20CR	0	2	0
04CL == 20CL | 20CU < 04CU | 20CR < 04CR	0	34	0
15CL < 04CL | 04CU < 15CU | 04CR < 15CR	37	0	0
15CL < 04CL | 04CU < 15CU | 15CR < 04CR	6	0	0
15CL < 04CL | 04CU == 15CU | 04CR < 15CR	21	0	0
15CL < 04CL | 04CU == 15CU | 04CR == 15CR	13	0	0
15CL < 04CL | 04CU == 15CU | 15CR < 04CR	2	0	0
15CL < 04CL | 15CU < 04CU | 04CR < 15CR	5	0	0
15CL < 04CL | 15CU < 04CU | 15CR < 04CR	6	0	0
15CL < 20CL | 15CU < 20CU | 15CR < 20CR	0	0	24
15CL < 20CL | 15CU == 20CU | 15CR < 20CR	0	0	3
15CL < 20CL | 15CU == 20CU | 15CR == 20CR	0	0	17
15CL < 20CL | 20CU < 15CU | 15CR < 20CR	0	0	1
15CL < 20CL | 20CU < 15CU | 20CR < 15CR	0	0	3
15CL == 20CL | 15CU < 20CU | 15CR < 20CR	0	0	102
15CL == 20CL | 15CU == 20CU | 15CR == 20CR	0	0	608
15CL == 20CL | 20CU < 15CU | 15CR < 20CR	0	0	1
15CL == 20CL | 20CU < 15CU | 20CR < 15CR	0	0	45
20CL < 04CL | 04CU < 20CU | 04CR < 20CR	0	32	0
20CL < 04CL | 04CU < 20CU | 20CR < 04CR	0	5	0
20CL < 04CL | 04CU == 20CU | 04CR < 20CR	0	24	0
20CL < 04CL | 04CU == 20CU | 04CR == 20CR	0	7	0
20CL < 04CL | 04CU == 20CU | 20CR < 04CR	0	3	0
20CL < 04CL | 20CU < 04CU | 04CR < 20CR	0	6	0
20CL < 04CL | 20CU < 04CU | 20CR < 04CR	0	6	0
20CL < 15CL | 15CU < 20CU | 15CR < 20CR	0	0	27
20CL < 15CL | 15CU == 20CU | 15CR < 20CR	0	0	23
20CL < 15CL | 15CU == 20CU | 15CR == 20CR	0	0	8
20CL < 15CL | 15CU == 20CU | 20CR < 15CR	0	0	1
20CL < 15CL | 20CU < 15CU | 15CR < 20CR	0	0	13
20CL < 15CL | 20CU < 15CU | 20CR < 15CR	0	0	3

absMin_Category	04_15	04_20	15_20
15C < 20C, diff values	0	0	52
15C < 20C, one zero	0	0	5
15C < 4C, diff values	46	0	0
15C < 4C, one zero	17	0	0
15C == 20C, fixed non-zero	0	0	356
15C == 20C, fixed zero	0	0	615
20C < 15C, diff values	0	0	5
20C < 15C, one zero	0	0	12
20C < 4C, diff values	0	21	0
20C < 4C, one zero	0	27	0
4C < 15C, diff values	10	0	0
4C < 15C, one zero	20	0	0
4C < 20C, diff values	0	30	0
4C < 20C, one zero	0	23	0
4C == 15C, fixed non-zero	349	0	0
4C == 15C, fixed zero	603	0	0
4C == 20C, fixed non-zero	0	344	0
4C == 20C, fixed zero	0	600	0
