Compound_Variability	compound	lower_4	upper_4	range_4	lower_15	upper_15	range_15	lower_20	upper_20	range_20	four_fifteen	four_twenty	fifteen_twenty
Compound_Variability	cpd_inospp1[p]	9.999999999999997e-06	0.020000000000003085	0.01999	9.999999999999997e-06	0.02000000000000255	0.01999	9.999999999999997e-06	0.020000000000003314	0.01999	04CL == 15CL | 15CU < 04CU | 15CR < 04CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_inost[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_ins[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_ipdp[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_itp[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.019999999999999993	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 20CU < 04CU | 20CR < 04CR	15CL == 20CL | 20CU < 15CU | 20CR < 15CR
Compound_Variability	cpd_ivcoa[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_k[c]	9.999999999999997e-06	0.050681275000000005	0.050671275	9.999999999999997e-06	0.050681275000000005	0.050671275	9.999999999999997e-06	0.050681275000000005	0.050671275	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_k[e]	1.0000004339613501e-05	0.050681275000000005	0.0506712749957	1.0000004173950623e-05	0.050681275000000005	0.0506712749958	1.0000004102759222e-05	0.05068127500000005	0.0506712749959	15CL < 04CL | 04CU == 15CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_k[p]	9.999999999999997e-06	0.05068125300629501	0.0506712530063	9.999999999999997e-06	0.050681253845894884	0.0506712538459	9.999999999999997e-06	0.05068125420670169	0.0506712542067	04CL == 15CL | 04CU < 15CU | 04CR < 15CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_kdo8nlipa[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
