carbNorm_Comparisons	ID	lower_4	upper_4	carbNorm_4	lower_15	upper_15	carbNorm_15	lower_20	upper_20	carbNorm_20	four_fifteen	four_twenty	fifteen_twenty
carbNorm_Comparisons	OMP_UREA	-0.001004	-0.001004	-0.001004	-0.002307	-0.002307	-0.002307	-0.000843	-0.000843	-0.000843	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	OMP_URI	-0.0	0.0	0	-0.0	0.0	0	-0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	OMP_VAL-L	-0.0	0.0	0	-0.0	0.0	0	-0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	OMP_XAN	-0.0	0.0	0	-0.0	0.0	0	-0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	OMP_na1	-0.0	0.0	0	-0.0	0.0	0	-0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	OPHBDC	6e-06	6e-06	6e-06	1.3e-05	1.3e-05	1.3e-05	5e-06	5e-06	5e-06	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	OPHHX	6e-06	6e-06	6e-06	0.0	0.0	0	0.0	0.0	0	15C < 4C, one zero	20C < 4C, one zero	15C == 20C, fixed zero
carbNorm_Comparisons	OPHHXAN	0.0	0.0	0	1.3e-05	1.3e-05	1.3e-05	5e-06	5e-06	5e-06	4C < 15C, one zero	4C < 20C, one zero	20C < 15C, diff values
carbNorm_Comparisons	ORNCD	0.003446	0.003446	0.003446	0.007921	0.007921	0.007921	0.002893	0.002893	0.002893	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	ORPT	-0.003136	-0.003136	-0.003136	-0.007208	-0.007208	-0.007208	-0.002632	-0.002632	-0.002632	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	OXGDC2	6e-06	6e-06	6e-06	1.3e-05	1.3e-05	1.3e-05	5e-06	5e-06	5e-06	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	P5CD	-0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	P5CR	0.0	0.0	0	-0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PANTS	1.4e-05	1.4e-05	1.4e-05	3.1e-05	3.1e-05	3.1e-05	1.1e-05	1.1e-05	1.1e-05	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PAP	0.002245	0.002245	0.002245	0.00516	0.00516	0.00516	0.001884	0.001884	0.001884	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PAPPT3	0.000614	0.000614	0.000614	0.001412	0.001412	0.001412	0.000516	0.000516	0.000516	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PAPSR	0.003341	0.003341	0.003341	0.00768	0.00768	0.00768	0.002804	0.002804	0.002804	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PASYN_WP2	0.003879	0.003879	0.003879	0.008916	0.008916	0.008916	0.003256	0.003256	0.003256	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PDH	0.0	0.117798	0	-0.0	0.0	0	0.00749	0.017502	0.00749	4C == 15C, fixed zero	4C < 20C, one zero	15C < 20C, one zero
carbNorm_Comparisons	PDX5PO	6e-06	6e-06	6e-06	-0.0	0.0	0	-0.0	0.0	0	15C < 4C, one zero	20C < 4C, one zero	15C == 20C, fixed zero
carbNorm_Comparisons	PDX5PS	6e-06	6e-06	6e-06	0.0	0.0	0	0.0	0.0	0	15C < 4C, one zero	20C < 4C, one zero	15C == 20C, fixed zero
carbNorm_Comparisons	PEPTIDOXe	0.000614	0.000614	0.000614	0.001412	0.001412	0.001412	0.000516	0.000516	0.000516	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PEPTIDO_SYNTHESIS	0.000554	0.000554	0.000554	0.001274	0.001274	0.001274	0.000465	0.000465	0.000465	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PERD	6e-06	6e-06	6e-06	-0.0	0.0	0	-0.0	0.0	0	15C < 4C, one zero	20C < 4C, one zero	15C == 20C, fixed zero
carbNorm_Comparisons	PFL	0.023456	0.023456	0.023456	0.649285	0.649285	0.649285	0.311106	0.321117	0.311106	4C < 15C, diff values	4C < 20C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PGAMT	-0.001758	-0.001758	-0.001758	-0.004041	-0.004041	-0.004041	-0.001476	-0.001476	-0.001476	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PGCD	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PGDH	-0.0	0.117798	0	0.008484	0.008484	0.008484	-0.0	0.0	0	4C < 15C, one zero	4C == 20C, fixed zero	20C < 15C, one zero
carbNorm_Comparisons	PGDHY	0.130741	0.248539	0.130741	-0.0	0.0	0	0.0	0.0	0	15C < 4C, one zero	20C < 4C, one zero	15C == 20C, fixed zero
