ACGAMK
AGDC
G6PDA
PGI
G6PDHy
PGL
PGDHY
PGDH
RPE
RPI
EDA
FBP
FBA
TPI
GAPD
PGK
PGM
ENO
PPS
PYK
TKT1
TKT2
TAL
XPK
PPC
PDH
PFL
PTAr
ACKr
CS
ACONT
ICDHxi
ICDHy
ICL
SUCOAS
FRD10
FRD11
SUCD7
FUM
MDH
ME2
