gene	4C Late Replicate A	4C Late Replicate B	15C Replicate A	15C Replicate B	20C Replicate A	20C Replicate B
sps_RS01125	9.867252396	5.470476449	8.408234853	9.261396279	16.18258871	12.34700014
sps_RS01130	47.75419239	34.3160289	26.86146417	25.13482888	44.64038197	9.559793793
sps_RS01135	162.0228811	246.6885299	237.2706266	200.5167204	249.2799269	152.4684166
sps_RS01140	29.41980151	24.62553893	26.04293461	23.89458912	42.11811072	22.91414285
sps_RS01145	14.73075473	9.032873062	9.19016819	7.743766992	18.74452808	26.52959715
sps_RS01150	22.16612059	17.0722099	14.32291958	12.31530879	25.75406652	26.46808179
sps_RS01155	55.48897494	61.33140228	30.43116359	22.06041484	25.36707829	26.49068401
sps_RS01160	5.746088362	3.347906172	3.651230707	2.752955923	4.74499165	7.063137434
sps_RS01165	108.7613232	82.317928	88.12172677	77.20748626	99.9523704	91.57766393
sps_RS01170	93.84781212	58.93879087	80.98933432	71.74779931	132.7212405	52.29480988
sps_RS01175	67.43011708	66.83272481	65.16047331	61.46977485	72.74090356	59.31308973
sps_RS01180	9.864606466	7.45595373	9.435742731	7.809113605	53.77079953	21.47206577
sps_RS01185	111.9754231	98.42982641	59.66640589	54.34334724	108.8556908	306.5579284
sps_RS01190	28.17022616	21.53002133	17.22322171	16.77500482	26.14725837	15.55968494
sps_RS01195	10.90383071	7.279642264	8.431973368	4.639581712	19.75171476	8.285493494
sps_RS01200	27.99434429	16.44592754	25.60874306	21.83986426	52.29131699	27.70567903
sps_RS01205	477.2139597	550.5797371	169.2311324	152.833968	469.5052456	314.9051604
sps_RS01210	18.84399464	17.22229514	12.06034639	11.03017789	20.14759627	21.02703371
sps_RS01215	72.51837857	69.91652058	61.97591599	50.71495706	98.51889442	73.99258549
sps_RS01220	22.61618574	13.50961429	17.58981109	15.12315529	32.81838605	36.22235265
sps_RS01225	15.16787191	10.80756763	7.490652825	6.74094017	13.71200544	6.622541812
sps_RS01230	5.78784938	3.883002484	4.72374536	4.025504578	9.250669822	39.53708954
sps_RS01235	28.05945399	22.52235182	17.23461025	11.04666231	32.20477731	34.25597324
sps_RS01240	12.25970356	8.057903146	8.659837885	6.521263535	15.58851423	30.4785497
sps_RS01245	3.551887851	2.75195195	1.074209462	2.045476006	2.941110527	17.02729129
sps_RS01250	3.261866311	1.166748754	2.169938295	1.731765326	4.318863759	3.439077735
sps_RS01255	44.80242978	35.84493807	27.24268768	23.63819476	35.42997084	46.39053057
sps_RS01260	43.30088148	31.18027213	19.40982041	20.69332765	23.48187466	61.04395405
sps_RS01265	54.80814706	32.92718222	36.81281647	26.88148166	57.09722231	64.35673594
sps_RS01270	115.2268674	82.9103626	49.59678914	36.59858708	70.88157169	59.19336886
sps_RS01275	14.76030369	5.733680745	15.69654687	16.50123917	28.54010434	37.14195836
sps_RS01280	56.75160098	42.66423303	44.3688091	34.02902421	81.6561063	10.43141764
sps_RS01285	49.07383483	27.11759381	64.15466506	54.41390209	81.6561063	98.27408146
sps_RS01290	21.51621422	14.20104787	20.11908533	16.06491443	34.88505374	33.77543824
sps_RS01295	41.42644439	28.73093768	36.18572199	41.24069068	40.3881368	95.17532899
sps_RS01300	122.2046734	83.58994837	64.41996706	42.03675763	142.7303638	74.98106619
sps_RS01305	321.533875	186.4275774	85.08079392	89.06589946	326.7384601	542.8548473
sps_RS01310	301.3580218	185.1937171	102.4025502	107.1438009	372.286056	371.8986635
sps_RS01315	27.64847454	23.89454743	32.69224546	26.9111352	54.06383586	46.23385242
sps_RS01320	30.55861087	28.91374693	30.99944612	25.80484632	41.61776686	41.74154465
sps_RS01325	16.78442557	14.51886539	11.42661994	11.61812413	19.90621497	22.090808
sps_RS01330	59.8800905	31.68173136	27.69476324	21.48622505	31.73655795	6.91198812
sps_RS01335	9.293939102	8.033575087	2.482459388	3.370606624	12.65501544	3.290081964
sps_RS01340	10.99897687	5.480455388	3.627033916	3.03395319	9.158531677	5.597063968
sps_RS01345	19.96734184	13.51787191	9.392276354	8.207279756	20.02899927	5.255986414
sps_RS01350	8.87692047	4.397265269	3.7338459	4.616907929	12.2492991	15.78298499
sps_RS01355	31.06989567	31.88290802	13.04305409	12.70904359	24.49859819	46.32967696
sps_RS01360	10.84538161	7.44249904	8.509220111	5.431215022	15.17854142	19.19514698
sps_RS01365	22.62189388	13.90314721	45.07007326	63.66868266	25.31003089	35.72072964
sps_RS01370	28.12142976	17.75150093	100.5076779	158.3392762	20.3003735	9.142759058
sps_RS01375	24.37208623	23.08732219	191.3758445	276.8898906	56.64547136	22.35828111
sps_RS01380	433.2456327	287.3847486	922.3542295	869.6757533	990.7590983	610.7752495
sps_RS01385	99.07966582	63.35999857	526.29889	631.7297236	568.7193768	45.13886912
sps_RS01390	1332.077575	710.4047193	3084.636404	2150.946218	1883.168561	633.2910365
sps_RS01395	813.9814582	673.0007317	805.5197999	887.606103	500.2117194	77.19798763
sps_RS01400	47.90641654	31.99342486	30.27420705	31.51748808	42.56304802	27.08113151
sps_RS01405	12.6535908	8.615523885	8.803502968	6.600128016	14.08977033	10.11638137
sps_RS01410	27.78692022	17.72603133	18.88828928	15.64035313	24.65796222	21.6186304
sps_RS01415	11.26887234	9.433176653	11.44203431	12.43654076	18.07174554	17.75638852
sps_RS01420	13.76658333	10.45649711	13.22816099	12.34740945	18.8356932	20.40212546
sps_RS01425	5.70312142	3.49211549	4.607059132	4.128435672	7.258665183	11.03610151
sps_RS01430	1.263777839	2.474492981	1.307353946	3.26780603	9.078427901	1.695483085
sps_RS01435	0.571012234	0.268970387	0.302344857	0.655836638	0.411891636	0.514186805
sps_RS01440	46.19077154	37.46562557	22.05130669	23.86057705	51.29311764	6.366651019
sps_RS01445	26.9782728	17.38977303	20.80792564	18.78302969	23.81482551	46.1962217
sps_RS01450	29.02536063	25.17443557	36.78645417	30.09063148	42.2476561	36.12545604
sps_RS01455	65.61686991	55.29703246	45.22759147	46.25316954	61.16590798	17.08183969
sps_RS01460	64.76353326	58.89929762	80.23478868	58.61759846	92.83679314	39.8607283
sps_RS01465	1161.68066	1203.598118	856.3081613	857.471342	1084.052861	321.8229349
sps_RS01470	22.72915255	13.33717291	14.70558735	11.5955723	22.19721472	14.94620032
sps_RS01475	25.71501588	15.04418503	23.78249473	24.07436287	26.24073683	29.02949076
sps_RS01480	17.41992698	7.416308863	11.08834288	7.469724665	17.38466768	18.3073063
